author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj,Check,point_dis,dis_to_pol(m),areasize(km2),temperature,humidity(%),pressure,windspeed(m/s),aveconcen(mug/m3),greencover,city,country,landtype_control,landtype_exp,leaf
Yli-Pelkonen,2017,"Helsinki,Finland",Landscape and Urban Planning,Passive sampler,NA,O3,O3,g,10,39.4,3.5,10,37.8,3.5,open area,tree-covered,mug,"paired sub sampling point, adjacent to traffic lane",35_Yli-Pelkonen_2017,35,NA,TRUE,2,71,10,36,35_Yli-Pelkonen_2017_case2,case2,obs.71,Yli-Pelkonen_2017_obs.71,g,-0.041456714,0.00164646,-0.041456714,0.00164646,FALSE,0.040576593,0.040576593,,subpoint,25.6,0.002059,13.6,69,,5.8,38.6,0.84,Helsinki,Finland,Outside patch,Patch,TRUE
Yli-Pelkonen,2017,"Helsinki,Finland",Landscape and Urban Planning,Passive sampler,NA,TSP,PM,s,10,33.4,15,10,25.8,13.5,open area,tree-covered,mug,"paired sub sampling point, adjacent to traffic lane",35_Yli-Pelkonen_2017,35,NA,TRUE,3,72,36,36,35_Yli-Pelkonen_2017_case3,case3,obs.72,Yli-Pelkonen_2017_obs.72,s,-0.258181408,0.047548907,-0.258181408,0.047548907,FALSE,0.218057119,0.218057119,,subpoint,25.6,0.002059,18.1,69,,5,29.6,0.84,Helsinki,Finland,Outside patch,Patch,TRUE
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,25.9,5.4,10,29.7,6.6,open area,under tree cover,mug,"3m to road sub point, summer",36_Yli-Pelkonen_2017,36,NA,TRUE,1,73,18,37,36_Yli-Pelkonen_2017_case1,case1,obs.73,Yli-Pelkonen_2017_obs.73,g,0.136904077,0.009285255,0.136904077,0.009285255,FALSE,0.096360029,0.096360029,,subpoint,3,0.000075,16.3,72,,5,27.8,0.73,Helsinki,Finland,Outside patch,Patch,TRUE
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,18,3.9,10,20,4.4,open area,under tree cover,mug,"20m to road sub point, summer",36_Yli-Pelkonen_2017,36,NA,TRUE,2,74,19,38,36_Yli-Pelkonen_2017_case2,case2,obs.74,Yli-Pelkonen_2017_obs.74,g,0.105360516,0.009534444,0.105360516,0.009534444,FALSE,0.09764448,0.09764448,,subpoint,18.6,0.000465,16.3,72,,5,19,0.73,Helsinki,Finland,Outside patch,Patch,TRUE
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,15.5,3.4,10,15.7,3.6,open area,under tree cover,mug,"40m to road sub point, summer",36_Yli-Pelkonen_2017,36,NA,TRUE,3,75,20,39,36_Yli-Pelkonen_2017_case3,case3,obs.75,Yli-Pelkonen_2017_obs.75,g,0.012820688,0.010069474,0.012820688,0.010069474,FALSE,0.10034677,0.10034677,,subpoint,39.7,0.0009925,16.3,72,,5,15.6,0.73,Helsinki,Finland,Outside patch,Patch,TRUE
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,35.3,7.8,10,42.2,9.2,open area,under tree cover,mug,"3m to road sub point, winter",36_Yli-Pelkonen_2017,36,NA,TRUE,4,76,21,40,36_Yli-Pelkonen_2017_case4,case4,obs.76,Yli-Pelkonen_2017_obs.76,g,0.178537257,0.009635286,0.178537257,0.009635286,FALSE,0.098159491,0.098159491,,subpoint,3,0.000075,-1.5,89,,6.3,38.75,0.15,Helsinki,Finland,Outside patch,Patch,FALSE
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,26.5,5.6,10,28.4,6.3,open area,under tree cover,mug,"20m to road sub point, winter",36_Yli-Pelkonen_2017,36,NA,TRUE,5,77,22,41,36_Yli-Pelkonen_2017_case5,case5,obs.77,Yli-Pelkonen_2017_obs.77,g,0.069244412,0.009386545,0.069244412,0.009386545,FALSE,0.096884182,0.096884182,,subpoint,18.6,0.000465,-1.5,89,,6.3,27.45,0.15,Helsinki,Finland,Outside patch,Patch,FALSE
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,21.9,4.9,10,21.8,6.1,open area,under tree cover,mug,"40m to road sub point, winter",36_Yli-Pelkonen_2017,36,NA,TRUE,6,78,23,42,36_Yli-Pelkonen_2017_case6,case6,obs.78,Yli-Pelkonen_2017_obs.78,g,-0.004576667,0.012835879,-0.004576667,0.012835879,FALSE,0.113295538,0.113295538,,subpoint,39.7,0.0009925,-1.5,89,,6.3,21.85,0.15,Helsinki,Finland,Outside patch,Patch,FALSE
Sabin,2018,"Marmara,Turkey",Atmospheric Pollution Research,Pollutant analyzer,NA,O3,O3,g,7,95.8,12.1,15,104.4,11.3,urban sites,rural sites,mug,only aquired summer,37_Sabin_2018,37,NA,TRUE,1,79,11,43,37_Sabin_2018_case1,case1,obs.79,Sabin_2018_obs.79,g,0.08596699,0.003060011,0.08596699,0.003060011,FALSE,0.055317362,0.055317362,,separate,,,24.5,67,,4.8,98.5,,Marmara,Turkey,Urban,Forest,TRUE
Sabin,2018,"Marmara,Turkey",Atmospheric Pollution Research,Pollutant analyzer,NA,NO,NOX,g,7,6,5.7,15,1.2,0.5,urban sites,rural sites,mug,only aquired summer,37_Sabin_2018,37,NA,TRUE,2,80,24,44,37_Sabin_2018_case2,case2,obs.80,Sabin_2018_obs.80,g,-1.609437912,0.140502646,-1.609437912,0.140502646,FALSE,0.374836825,0.374836825,,separate,,,24.5,67,,4.8,4.5,,Marmara,Turkey,Urban,Forest,TRUE
